time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.618463,4.7782,-2.9388,0.7388,5.658
1.623363,4.9181,-2.4820,0.4056,5.524
1.628468,5.2479,-1.8526,0.3407,5.576
1.633039,5.4877,-1.6626,0.0865,5.735
1.637780,5.6904,-1.6124,-0.2755,5.921
1.643275,5.8361,-1.5264,-0.5275,6.055
1.649432,5.6493,-1.3728,-0.8588,5.877
1.652687,5.4239,-1.2063,-1.0845,5.661
1.657985,5.2602,-0.9838,-1.2919,5.505
1.662563,5.0532,-0.7274,-1.3364,5.277
1.667963,4.7844,-0.4662,-1.3183,4.985
1.672789,4.5479,-0.2490,-0.8817,4.639
1.677826,4.3730,-0.0378,-0.4478,4.396
1.683163,4.2719,0.2365,-0.1779,4.282
1.688096,4.0942,0.4086,0.1189,4.116
1.692269,3.6578,0.5223,0.4482,3.722
1.698861,3.0654,0.5275,0.6570,3.179
1.703764,2.4753,0.4292,0.4920,2.560
1.707915,2.1804,0.3220,0.8235,2.353
1.711919,2.1961,0.4199,0.8841,2.404
1.722416,2.2982,0.6281,0.7484,2.497
1.723450,2.3582,1.0245,0.3197,2.591
1.726828,2.3792,1.4910,-0.1409,2.811
1.733130,2.5095,2.0201,-0.3286,3.238
1.736894,2.6623,2.4738,-0.3804,3.654
1.742904,2.5736,2.5953,-0.3097,3.668
1.746815,2.0174,2.5373,-0.1365,3.244
1.751764,1.3231,2.3450,0.1904,2.699
1.756615,0.5591,2.0317,0.5718,2.183
1.761263,-0.2776,1.6728,1.2125,2.085
1.766200,-1.1968,1.3049,1.6516,2.421
1.771272,-1.9736,1.0280,2.1485,3.093
1.776283,-2.3256,0.7431,2.7386,3.669
1.782866,-2.4944,0.6526,3.2633,4.159
1.785926,-2.6877,0.7194,3.6950,4.625
1.790937,-2.8383,0.8928,3.8555,4.870
1.795658,-2.9150,1.0742,3.6019,4.757
1.802317,-3.0184,1.3233,3.2910,4.658
1.806439,-3.1395,1.5521,3.1065,4.681
1.810477,-3.0754,1.7316,2.8744,4.552
1.819016,-2.7542,1.9812,2.7406,4.361
1.820642,-2.3224,2.1666,2.7238,4.184
1.825621,-1.8254,2.2688,2.6018,3.905
1.831902,-1.3248,2.3042,2.4711,3.629
1.835498,-1.0135,2.2654,1.7126,3.015
1.840419,-0.9246,2.0931,1.3404,2.652
1.845047,-0.9237,1.8279,1.0824,2.316
1.851653,-0.9462,1.5778,1.0077,2.098
1.855213,-1.0425,1.3068,0.9311,1.914
1.861129,-1.2482,1.0365,0.9793,1.895
1.866058,-1.4437,0.8694,0.9342,1.927
1.869929,-1.5948,0.7733,0.9194,1.997
1.874660,-1.5621,0.8301,0.9315,1.999
1.879835,-1.3497,1.0545,0.7493,1.870
1.884732,-1.1105,1.3136,0.4480,1.778
1.889562,-0.8754,1.5085,0.3383,1.777
1.894413,-0.7234,1.5963,0.2372,1.769
1.905154,-0.6028,1.6211,0.3672,1.768
1.906154,-0.5928,1.6297,0.5121,1.808
1.909388,-0.8157,1.5811,0.3768,1.819
1.915252,-1.2077,1.3840,0.2400,1.852
1.919448,-1.5112,1.1619,0.3029,1.930
1.924502,-1.7844,0.8919,0.5382,2.066
1.929037,-1.9732,0.5958,0.7808,2.204
1.934032,-1.9993,0.2544,0.9020,2.208
1.940307,-1.9851,0.0190,0.9590,2.205
1.943936,-2.1984,-0.2206,0.7279,2.326
1.949278,-2.3499,-0.4216,0.5510,2.450
1.954072,-2.4406,-0.6871,0.2136,2.544
1.958695,-2.6354,-1.2287,-0.2043,2.915
1.963453,-2.9800,-2.0662,-0.8507,3.725
1.969163,-3.0371,-2.6203,-1.1221,4.165
1.973364,-2.1573,-2.5274,-0.6059,3.378
1.978421,-0.0509,-1.6915,0.6717,1.821
1.983585,2.3484,-0.5381,2.1631,3.238
1.988593,3.8786,0.3171,3.1148,4.985
1.993183,4.2194,0.6187,3.1137,5.280
2.006685,3.6693,0.6870,2.5843,4.540
2.007744,2.7588,0.8268,1.6962,3.342
2.008301,1.9273,0.8762,0.6310,2.209
2.014159,1.3166,0.8918,-0.4255,1.646
2.020093,0.7844,0.7236,-0.9881,1.454
2.023533,0.3519,0.5591,-1.1230,1.303
2.029171,0.1055,0.4658,-0.6820,0.833
2.034743,0.1122,0.5250,0.0090,0.537
2.038611,0.3715,0.5075,0.6076,0.875
2.042798,0.5623,0.3492,0.9285,1.140
2.048544,0.5191,-0.0283,1.0330,1.156
2.053989,0.3189,-0.3616,1.1489,1.246
2.057893,0.0864,-0.6627,1.3320,1.490
2.063481,0.1283,-0.9301,1.8270,2.054
2.069042,0.4332,-1.1262,2.3149,2.610
2.073007,0.8295,-1.0703,2.8693,3.173
2.078039,1.1259,-0.6574,3.0292,3.298
2.082032,1.1120,-0.1043,2.8059,3.020
2.087775,1.0672,0.3830,2.4117,2.665
2.092994,0.8909,0.8076,2.1551,2.468
2.098069,0.5347,1.0603,2.1569,2.462
2.102417,0.2976,1.0936,2.3202,2.582
2.107513,0.2871,0.7831,2.3771,2.519
2.112705,0.3260,0.3470,2.2988,2.348
2.121247,0.2420,-0.2188,2.0553,2.081
2.122353,0.2384,-0.7176,1.7434,1.900
2.127762,0.4588,-1.1949,1.5551,2.014
2.133914,0.9990,-1.6248,1.3954,2.363
2.137809,1.3528,-2.0427,0.9406,2.624
2.141546,1.6700,-2.2618,-0.0135,2.812
2.147356,2.0469,-2.0305,-0.9084,3.023
2.152006,2.2609,-1.6820,-1.6715,3.276
2.158086,2.1181,-1.6436,-2.2865,3.524
2.162497,1.7612,-1.4728,-2.6775,3.527
2.168126,1.1632,-1.5288,-2.8331,3.423
2.171709,0.6614,-1.4739,-2.9029,3.322
2.176244,0.3420,-1.2817,-3.2177,3.480
2.181547,0.1020,-1.3045,-3.2943,3.545
2.185952,0.2407,-1.2746,-3.0584,3.322
2.193764,0.3215,-1.2215,-2.8359,3.104
2.195883,0.0233,-1.3764,-2.5653,2.911
2.203638,-0.6368,-1.5742,-2.9689,3.420
2.206643,-0.9763,-1.3874,-2.6393,3.138
2.211108,-0.9427,-1.0328,-1.7851,2.268
2.218016,-0.9047,-0.8960,-0.8746,1.545
2.221775,-1.1593,-0.9263,-0.2421,1.504
2.226515,-1.4840,-1.0836,0.0632,1.839
2.230915,-1.5095,-1.0760,-0.0314,1.854
2.236194,-1.2718,-1.1480,0.2579,1.733
2.242360,-0.6727,-1.0361,0.8350,1.491
2.246783,0.1033,-0.9865,1.1934,1.552
2.250667,0.6380,-1.0854,1.0432,1.635
2.255282,1.1363,-0.8959,0.8560,1.681
2.259776,1.7023,-0.2407,0.5437,1.803
2.264980,1.9932,0.6128,-0.0240,2.085
2.269951,0.7569,0.2357,-1.6127,1.797
2.274798,-0.9516,-0.8688,-1.2927,1.825
2.279780,-1.1805,-1.4740,0.1748,1.897
2.284847,-0.6942,-1.2444,1.1844,1.853
2.289413,-0.6508,-0.4938,0.8585,1.185
2.294260,-0.7434,0.1196,-0.1262,0.763
2.303093,-0.5834,0.8249,-0.9693,1.400
2.304093,-0.4818,1.5909,-1.5383,2.265
2.309401,-0.3552,2.0846,-1.6060,2.655
2.313962,-0.2851,2.1565,-1.4885,2.636
2.318972,-0.2241,2.0537,-0.9539,2.275
2.324069,-0.1101,1.8905,-0.5454,1.971
2.328697,-0.2904,1.4965,0.1744,1.534
2.333900,-0.3397,0.9640,1.0049,1.433
2.339171,0.1122,0.4380,1.7363,1.794
2.343441,0.6544,0.4589,2.1592,2.302
2.350014,0.9068,0.5628,2.5248,2.741
2.353786,1.0496,0.4881,2.4078,2.672
2.358416,1.1521,0.2328,2.0953,2.403
2.363141,1.3529,-0.0452,1.9930,2.409
2.368721,1.3386,-0.2145,1.4936,2.017
2.373237,1.1910,-0.3419,0.9450,1.558
2.378117,1.0513,-0.4870,0.4481,1.242
2.383187,0.9768,-0.5329,-0.1842,1.128
2.388002,1.0013,-0.3395,-0.8053,1.329
2.392803,0.8788,-0.0754,-1.6039,1.830
2.397994,0.4588,0.1799,-2.4583,2.507
2.402719,0.0431,0.4744,-3.0241,3.061
2.407614,-0.1434,0.7983,-3.0880,3.193
2.412747,-0.1442,0.9157,-3.0384,3.177
2.421313,-0.0867,0.8564,-2.6218,2.760
